district_raw,state_full,state_abrev,district_num,region,dem,dem_id,dem_per,gop,gop_id,gop_edit,hold_flip,winner,win_id,win_per,loser,lose_id,lose_per,delta
Montana District 1,Montana,MT,1,west,Williams,H8MT01232,46.2,Gianforte,H8MT01182,50.9,GOP Hold,Gianforte,H8MT01182,50.9,Williams,H8MT01232,46.2,4.7
Nebraska District 1,Nebraska,NE,1,midwest,McClure,H8NE01081,39.6,Fortenberry,H4NE01064,60.4,GOP Hold,Fortenberry,H4NE01064,60.4,McClure,H8NE01081,39.6,20.8
Nebraska District 2,Nebraska,NE,2,midwest,Eastman,H8NE02220,49,Bacon,H6NE02125,51,GOP Hold,Bacon,H6NE02125,51,Eastman,H8NE02220,49,2
Nebraska District 3,Nebraska,NE,3,midwest,Theobald,H8NE03095,23.3,Smith,H6NE03115,76.7,GOP Hold,Smith,H6NE03115,76.7,Theobald,H8NE03095,23.3,53.4
Nevada District 1,Nevada,NV,1,west,Titus,H8NV03036,66.2,Bentley,H8NV01261,30.9,Dem Hold,Titus,H8NV03036,66.2,Bentley,H8NV01261,30.9,35.3
Nevada District 2,Nevada,NV,2,west,Koble,H8NV02095,41.8,Amodei,H2NV02395,58.2,GOP Hold,Amodei,H2NV02395,58.2,Koble,H8NV02095,41.8,16.4
Nevada District 3,Nevada,NV,3,west,Lee,H6NV04020,51.9,Tarkanian,H2NV04045,42.8,Dem Hold,Lee,H6NV04020,51.9,Tarkanian,H2NV04045,42.8,9.1
Nevada District 4,Nevada,NV,4,west,Horsford,H2NV04011,51.9,Hardy,H8NV04059,43.7,Dem Hold,Horsford,H2NV04011,51.9,Hardy,H8NV04059,43.7,8.2
New Hampshire District 1,New Hampshire,NH,1,northeast,Pappas,H8NH01210,53.5,Edwards,H8NH01152,45,Dem Hold,Pappas,H8NH01210,53.5,Edwards,H8NH01152,45,8.5
New Hampshire District 2,New Hampshire,NH,2,northeast,Kuster,H0NH02181,NA,Negron,H8NH02275,42.2,Dem Hold,McLane,H0NH02181,55.5,Negron,H8NH02275,42.2,13.3
New Jersey District 1,New Jersey,NJ,1,northeast,Norcross,H4NJ01084,64.4,Dilks,H8NJ01259,33.3,Dem Hold,Norcross,H4NJ01084,64.4,Dilks,H8NJ01259,33.3,31.1
New Jersey District 2,New Jersey,NJ,2,northeast,Van Drew,H8NJ02166,NA,Grossman,H8NJ02232,45.2,Dem Pickup,Van,H8NJ02166,52.9,Grossman,H8NJ02232,45.2,7.7
New Jersey District 3,New Jersey,NJ,3,northeast,Kim,H8NJ03206,50,MacArthur,H4NJ03130,48.7,Dem Pickup,Kim,H8NJ03206,50,MacArthur,H4NJ03130,48.7,1.3
New Jersey District 4,New Jersey,NJ,4,northeast,Welle,H8NJ04188,43.1,Smith,H8NJ04014,55.4,GOP Hold,Smith,H8NJ04014,55.4,Welle,H8NJ04188,43.1,12.3
New Jersey District 5,New Jersey,NJ,5,northeast,Gottheimer,H6NJ05171,56.2,McCann,H8NJ05136,42.5,Dem Hold,Gottheimer,H6NJ05171,56.2,McCann,H8NJ05136,42.5,13.7
New Jersey District 6,New Jersey,NJ,6,northeast,Pallone,H8NJ03073,63.6,Pezzullo,H8NJ10110,36.4,Dem Hold,Pallone,H8NJ03073,63.6,Pezzullo,H8NJ10110,36.4,27.2
New Jersey District 7,New Jersey,NJ,7,northeast,Malinowski,H8NJ07223,51.7,Lance,H6NJ12136,46.7,Dem Pickup,Malinowski,H8NJ07223,51.7,Lance,H6NJ12136,46.7,5
