committee_id,fundraising
C00654723,9340.51
C00257121,89025.88
C00373563,74240.41
C00678557,190.16
C00678425,16700
C00660597,32411.42
C00666842,37176.479999999996
C00672956,31692
C00678326,25316.19
C00574640,177639.28
C00660837,52000
C00576173,203417.41
C00670034,40943.63
C00670935,14000
C00636571,105758.75
C00655647,67500
C00582296,43023.82
C00553859,244930.54
C00660555,47488.97
C00671891,79722.61
C00372532,241955.04
C00308742,80544.75
C00460063,375070.38
C00326363,422053.32
C00649400,122674.92
C00607838,329924.26
C00639872,11350
C00635797,2497.8
C00510958,91812.31
C00652149,131959.35
C00511568,8512
C00654624,56.24
C00658591,912.6
C00671263,500
C00444471,84146.12
C00688424,82600
C00592659,77519.69
C00684514,264587.46
C00685479,49655.69
C00685222,48118.56
C00509968,89017.13
C00460550,181531.95
C00673632,4500
C00634923,1715.02
C00607937,3020
C00633669,11145.87
C00661595,5500
C00650994,9391.58
C00631945,395986.06
C00649194,43745
C00678656,250
C00655233,38744.46
C00655860,31510
C00661892,2823.08
C00370650,115924.5
C00592048,209685.3
C00614776,187838.93
C00467522,281483.41
C00528182,71238.18
C00660795,95848.46
C00655910,37750
C00669671,5301
C00561597,176256.16
C00667329,42751.63
C00345546,78405
C00648907,27644.7
C00668129,4710.9
C00559393,257961.81
C00672345,458.89
C00678391,11220
C00651604,750
C00641415,48670.21
C00667576,2830
C00637389,19860
C00667386,364.51
C00673327,2000
C00658286,5315
C00652743,53369.45
C00664516,2000
C00510461,370394.49
C00637926,5.6
C00397505,155255
C00638205,1190.7
C00659516,1865.73
C00650242,24379.8
C00631127,340.12
C00662650,303591.06
C00558510,125943.58
C00676627,7000
C00666420,74
C00672972,15290.119999999999
C00669978,4283.75
C00649418,28276.7
C00640896,3020.4100000000003
C00662940,21780.42
C00663971,649.63
C00666164,22589.66
C00442921,111818
C00666453,6136.9400000000005
C00649707,7956.43
C00650028,38000
C00438697,407591.75
C00636092,213606.13
C00398644,116331.32
C00668475,13500
C00664979,21235
C00272211,160000
C00635722,73666.85
C00543363,103486.04000000001
C00614214,106338.86
C00662080,250
C00655613,22928.91
C00521948,576879.44
C00662577,34800
C00552588,102000
C00671982,50
C00370056,182400.01
C00631002,19614.25
C00390724,200429.29
C00671412,2709.68
C00632067,197745.91
C00410969,556768.8
C00665364,16370.779999999999
C00405431,119893.6
C00666404,444.2
C00518654,284391.32
C00632059,11901.6
C00658633,27796.16
C00655084,3000
C00659177,15947.73
C00667758,5708.24
C00575050,372732.46
C00668939,412.82
C00459297,281951.04
C00458679,223705.98
C00580316,20892.79
C00660050,46963.35
C00655571,52656.07
C00672162,3416.75
C00200584,208390.13999999998
C00665109,12560
C00464602,193314.85
C00662874,5700
C00472365,518503.34
C00647131,38038.47
C00666743,19235
C00573378,88649.16
C00450049,133750
C00662619,64329.71
C00556365,168218.91
C00649061,38270
C00468579,404644.85000000003
C00665216,8145
C00675108,111490
C00662213,15273.47
C00301838,94134.36
C00512970,392010
C00649491,20500
C00666461,58780.83
C00638254,53807.84
C00577999,107122.54
C00443689,440708.17
C00590463,236412.52
C00660431,16287.52
C00630434,12435.75
C00166504,148680.71
C00650440,73916.23
C00572859,75677
C00557181,102255.66
C00671875,1574.3799999999999
C00662981,28900
C00541862,52666.55
C00653121,78844.96
C00513077,102500
C00639526,37000
C00513531,82966.33
C00514513,68595.46
C00670786,18775.14
C00647057,12917.04
C00520379,176213.03
C00639419,8272.74
C00516666,260631.1
C00635870,1768.6399999999999
C00371302,168325.91
C00655332,46092.45
C00662668,11138.66
C00459099,306365
C00663591,10838.26
C00648519,2276.96
C00649079,49370.65
C00408534,220573.91
C00649798,136771.76
C00677898,92657
C00588764,73418.47
C00636779,476.98
C00658492,71885
C00467571,318517.29
C00617662,191423.96
C00285171,84120
C00541888,205483.37
C00289603,235352
C00444968,57114.1
C00536680,127125.17
C00648006,19157.36
C00649897,630795.6
C00664797,21543.06
C00573949,209714.67
C00687749,27674.370000000003
C00673319,11531.880000000001
C00657171,6250
C00540617,162382.59
C00684225,524825.4
C00675025,14700
C00661561,77568.46
C00649327,12198.79
C00253187,110016.15
C00083428,48040.81
C00653196,181427.12
C00636696,19406.11
C00202416,671824.15
C00658021,975
C00650390,420
C00639096,234.69
C00651042,103492.95
C00655134,6700.86
C00655795,19107.11
C00650705,17028.66
C00462143,152104.4
C00650358,2370
C00409219,275603.96
C00650457,123294.44
C00635854,4308
C00555813,333377.34
C00650523,54981.24
C00607200,64195
C00652354,36053.43
C00571869,253205.07
C00472241,312013.26
C00632828,300764.49
C00651497,11750
C00650036,17020.56
C00659433,3837.79
C00650572,9500
C00661066,4822.58
C00660720,2678.8
C00658500,7000
C00287912,230304.51
C00639583,1462.2199999999998
C00633610,67600.8
C00646646,72325.23
C00648683,22820.06
C00591065,60012.75
C00476820,378915.53
C00446906,148362.4
C00154625,174925.22
C00441352,269622.9
C00653410,207386.79
C00618223,56829
C00631416,7584.78
C00639310,95270.81
C00656215,28750
C00347492,238422.31
C00660217,35000
C00634048,3161.54
C00655514,1125
C00379735,290854.8
C00649988,38114.549999999996
C00659615,2325
C00652784,1176.91
C00592154,168890.84
C00446815,57209.84
C00649459,22387.5
C00629659,121657.92
C00656223,15750
C00633982,174817.18
C00369801,79930.22
C00334706,67324.32
C00577353,125643.55
C00556506,252469.99
C00554014,229366.8
C00635888,137385.8
C00657387,27138.95
C00650259,33887.48
C00638940,13232.92
C00544445,21919.55
C00464073,25688.45
C00655175,19886.58
C00636399,11284.89
C00286187,145500
C00435099,309859.6
C00648949,29856.97
C00658807,30284.1
C00663302,5000
C00650283,16000
C00649228,2500
C00650689,3500
C00657890,5000
C00649236,16191.38
C00655225,66269.89
C00639773,41402.4
C00343871,590685.59
C00647024,102854
C00647925,81464
C00654830,500
C00392670,72121.61
C00656785,7391.07
C00654749,37940.66
C00647016,17183.9
C00661835,7500
C00630384,2790
C00652073,17385.05
C00413179,84000
C00651224,41998.57
C00550087,500
C00471896,1001.52
C00302422,2500
C00663070,31708.15
C00373464,142166.35
C00224691,232410.32
C00476291,146591.25
C00647164,86799.47
C00650812,868.67
C00651281,14654.94
C00650200,6811.47
C00659276,3100
C00659920,22550.58
C00310532,418212.46
C00649913,35023.6
C00651646,25300
C00213512,159583
C00255562,187561.19
C00543926,60740.68
C00658351,25250
C00610964,92052.32
C00238865,86124.5
C00663203,14718.15
C00657650,61315.9
C00664813,5584.21
C00656769,43876.03
C00673350,60921.17
C00640045,27509.01
C00499947,98191.4
C00650911,42000
C00648220,28755.03
C00662643,4700
C00636621,9970.38
C00661223,18970.739999999998
C00652388,31296.12
C00558213,127894.55
C00662452,227.71
C00661025,520
C00633370,2046.71
C00648493,146542.71
C00140715,306645.43
C00634188,3000
C00641498,39157
C00561530,71980.45999999999
C00668756,5850
C00444620,153175.34
C00655118,482.71000000000004
C00670570,4000
C00671511,3000
C00545467,269020.64
C00096412,14298.85
C00655274,4500
C00647537,200995.85
C00550707,141011.3
C00550871,583.98
C00551374,140866.34
C00554261,405870.39
C00656371,215611.09
C00658435,6500
C00554949,258451.88
C00555888,167794.5
C00654400,112823.56
C00664599,16064.52
C00633867,33088.88
C00116632,111134.88
C00605592,120295.42
C00474189,360968.61
C00573980,48606.409999999996
C00575092,66785.51
C00575126,87238.59
C00652735,20261.48
C00576041,485226.97
C00639641,71331.32
C00631572,29760.69
C00654178,33435.02
C00662130,16924.19
C00401034,190879.4
C00654434,1208.7
C00678037,1523
C00649756,3500
C00654780,1180.39
C00638973,28.3
C00669580,12000
C00410753,95448.77
C00657619,30672.39
C00599514,207
C00523902,73.9
C00653675,28.95
C00279851,395132.9
C00628917,5473.08
C00670489,5000
C00670604,4235.45
C00686717,63438.9
C00675603,586.25
C00676189,270
C00244335,204114.82
C00600718,106233.78
C00646372,1458.25
C00663450,425.02
C00629691,22400
