committee_id,travel
C00462143,9073.08
C00650390,1360
C00607200,22296.73
C00635722,4113.51
C00398644,33887.64
C00656918,264.06
C00638478,5416.0199999999995
C00652172,4659.61
C00650523,7971.34
C00658534,2102.33
C00472241,50630.92
C00639310,16347.75
C00613497,1505.44
C00639252,5770.45
C00658500,6597.57
C00653410,3269.29
C00307314,46272.69
C00373464,41990.36
C00648683,8515.2
C00658393,729.46
C00639583,1265.79
C00287912,6503.87
C00651521,3791.9700000000003
C00637827,7948.49
C00661066,210.06
C00655084,427.5
C00629659,52.98
C00470948,7999.72
C00649863,3773.57
C00613539,146.79
C00659714,799.04
C00254581,12774.56
C00649459,18682.28
C00633982,68517.66
C00288159,3301
C00656223,1160.02
C00635870,3591.09
C00393348,2941.32
C00661165,40070.36
C00662841,3964.1
C00639286,256.4
C00654855,2730.86
C00632448,4871.17
C00658641,694.77
C00636399,2855.62
C00654574,16045.65
C00384057,64716.35
C00661132,406.92
C00599043,450
C00605592,110693.85
C00647024,11629.460000000001
C00582296,196.3
C00647164,9883.47
C00653816,126612.07
C00633602,470.9
C00647115,25426.67
C00573980,31845.8
C00649186,257.98
C00650283,1611.07
C00477323,11120.94
C00662619,16153.05
C00654749,60.89
C00392670,3268.08
C00409409,10190.06
C00640896,979.92
C00639211,11248.01
C00647040,882.76
C00638726,24326.53
C00597724,4943.74
C00636571,22527.62
C00637363,32484.89
C00610964,9733.39
C00651224,9.6
C00343871,3110.14
C00543843,1498.19
C00663070,15380.689999999999
C00637991,533.95
C00637090,2672.03
C00657494,187.72
C00443689,13960.11
C00354688,10692.1
C00327023,16059.539999999999
C00651646,3141.35
C00649558,16996.73
C00213512,155714.2
C00660381,26785.51
C00346080,63328
C00195065,324.53000000000003
C00661892,527.34
C00639427,9575.64
C00640003,19985.93
C00657650,6034.04
C00653196,5239.05
C00654442,691.95
C00518654,35623.9
C00636670,1277.19
C00648220,35697.159999999996
C00472704,7012.38
C00344697,6136.51
C00662643,22.5
C00647669,3145.08
C00660274,1868.73
C00661579,241.43
C00649491,4259.889999999999
C00558213,26397.29
C00648493,19876.02
C00140715,261829.07
C00614214,9916.84
C00656272,422
C00637892,9502.14
C00667097,20809.78
C00630798,317.6
C00651158,8638.86
C00649533,101.25
C00656371,10209.039999999999
C00552547,3899.42
C00655274,405.33
C00414318,5301.42
C00473272,8094.09
C00555888,8461.27
C00561530,2881.92
C00577999,144.06
C00473736,21813.33
C00630244,765.2
C00575126,17748.54
C00630061,3119.14
C00656793,6380.28
C00661058,815.4200000000001
C00576041,5427.22
C00649756,3382.6800000000003
C00654780,2849.31
C00597716,139.65
C00639989,52305.19
C00649731,8612.33
C00670786,39536.69
C00554949,23423.87
C00607432,1092
C00657619,21921
C00599514,1732.9
C00647222,475.53
C00677609,1050
C00666347,4078.2200000000003
C00279851,62442.55
C00634188,56.56
C00628917,17189.54
C00670604,13903.41
C00675603,1185.47
C00675611,65.12
C00655191,7506.24
C00652651,5239.6
C00649673,357.67
C00432906,841.62
C00670463,1111.74
C00673533,540.87
C00658740,2064.09
C00637462,10433.13
C00600718,762
C00674457,900.72
C00653733,3307.95
C00672113,4438.08
C00654830,8300.21
C00257337,31596.2
C00680553,5810.33
C00672154,53.61
C00648295,12954.12
C00586065,744
C00477745,13989.99
C00458877,10574.47
C00670976,2225.85
C00663849,62.8
C00649020,5261.13
C00630954,3181.42
C00672170,5895.67
C00651026,1887.22
C00666594,700
C00553859,939.52
C00657551,5622.04
C00632885,2400.53
C00683144,157.96
C00334706,5048.57
C00391029,1898.21
C00554709,6474.81
C00578302,657.02
C00200865,85586.75
C00224691,33296.12
C00330142,102614.44
C00665372,330.47
C00683516,1709.6
C00677583,1649.62
C00668715,559.47
C00666859,5218.91
C00367862,3180.25
C00671156,18700.14
C00664151,1355.69
C00582890,28272.01
C00446815,3317.7400000000002
C00409219,2281.05
C00634253,10923.24
C00611376,541.9
C00648972,1581.6
C00443705,3875.8
C00675025,3065.7
C00458679,32472.07
C00651752,5795.57
C00648253,8491.84
C00677880,130.68
C00680439,6173.44
C00640755,4064.06
C00154625,1618.59
C00649038,1875.8400000000001
C00639641,1254.98
C00650424,741.0400000000001
C00636761,3100.9900000000002
C00629691,3679.43
C00629675,3395.81
C00592154,1425.2
C00602888,4308.45
C00603001,6343.09
C00570457,935.74
C00580415,27022.99
C00663468,2687.41
C00652263,112.5
C00654111,1466.07
C00656447,472.65000000000003
C00266940,34925.99
C00654558,1053.55
C00655175,133
C00437913,12887.42
C00671891,4014.59
C00637785,2305.99
C00662338,607.4100000000001
C00663997,231.31
C00430991,59924.27
C00667121,240.89
C00647495,73.95
C00663005,3233.98
C00636613,521.8
C00672295,14665.06
C00671347,2775.94
C00666131,800
C00617662,19883.99
C00454694,3677.18
C00563940,2562.28
C00606970,2991.4
C00336388,111167.87
C00663807,94
C00657825,918.1
C00649178,3030.55
C00476853,4164.8
C00367110,778.14
C00410753,4679.089999999999
C00653162,16.5
C00290825,33784.49
C00633859,40310.63
C00629956,18891.6
C00633198,21202.35
C00658898,189.53
C00664847,1325.15
C00632455,3241.72
C00215905,7175.23
C00647974,3820.5099999999998
C00620443,27720.899999999998
C00657486,169
C00439661,93768.87
C00634212,8773.82
C00546077,1870.64
C00665141,307.8
C00607416,5639.1900000000005
C00383828,14803.67
C00631002,2218.68
C00466516,3398.9
C00654079,6575.16
C00366757,226.68
C00665471,2987.31
C00648915,4887.32
C00666164,794.03
C00660365,255.95999999999998
C00416594,8254.48
C00657387,581.58
C00655795,346.6
C00649681,262.48
C00612432,35.35
C00460055,445.96
C00285254,3033.65
C00636969,3298.69
C00638775,2725.44
C00666404,1262.35
C00668194,1567.15
C00666842,1084.5
C00663542,566.9
C00638783,531.97
C00661777,1340.31
C00468256,9391.78
C00658401,21617.73
C00649004,1808.83
C00661835,453.17
C00666230,679.85
C00502229,736.84
C00656975,1735.4
C00653121,68470.91
C00640953,5228.91
C00652149,5159.68
C00610451,2848.19
C00656280,690.0899999999999
C00663443,300
C00347492,1016.95
C00229104,2889.45
C00550608,1347.69
C00350520,1483.28
C00435370,3620.75
C00634709,1903.99
C00631929,8380.75
C00629774,11732.25
C00465971,3752.4
C00468413,5284.8
C00633610,2188.06
C00390724,370.2
C00409797,2840.67
C00433730,2610.0699999999997
C00472878,9214.39
C00633511,1416.62
C00236513,34339.48
C00470757,3749.31
C00611145,264.45
C00482737,1043.09
C00614073,45.93
C00630988,469.03
C00331496,8160
C00591685,1766.45
C00632174,1204.4
C00273169,3618.93
C00250555,555
C00631200,50
C00631168,661.5
C00376087,58361.32
C00580829,314.4
C00608430,207.88
C00386110,192
C00614826,1834.73
C00471292,897.87
C00629790,1512.95
C00259143,1809.49
C00631465,85.26
C00366948,1154.9099999999999
C00370650,978
C00472365,8711.8
C00419978,2502.5499999999997
C00269837,37388.76
C00441014,7124.92
C00445163,753.6
C00460402,115.25
C00585463,1352.16
C00195628,4498.64
C00632141,9273.279999999999
C00581397,1054.48
C00608000,257.63
C00607671,329.12
C00635128,635128
C00386748,35754.41
C00634071,220
C00376673,21815.19
C00401034,574.86
C00637215,431.98
C00640482,944.19
C00640920,346.06
C00632471,8225
C00636175,1462.41
C00634329,156
C00634782,605.5
C00638825,286.35
C00640979,2292.96
C00631895,445.5
C00250720,2412.93
C00497321,952.2
C00634287,4036.58
C00635888,11279.89
C00464149,1044.72
C00415331,13924.76
C00283051,12171.57
C00635839,3188.87
C00638221,1238.36
C00264101,10727.31
C00519355,2059.75
C00631564,1672.92
C00666586,9480.44
C00636563,1388.8
C00656736,694.4
C00667527,56.769999999999996
C00649012,11577.13
C00647008,4115.37
C00659839,324.82
C00646752,729.92
C00658005,3922.84
C00664904,2656.92
C00680785,430.8
C00587782,5920.2699999999995
C00527457,1413.28
C00629881,6187.15
C00646570,559.24
C00679100,870.35
C00287904,44560.71
C00655068,214.05
C00633636,1339.1
C00630434,585.24
C00647875,7311.09
C00638536,990.13
C00641431,1345.3
C00636357,275.33
C00326363,35.98
C00637546,3002.27
C00648931,1365.93
C00592956,200
C00638940,1513.7399999999998
C00652362,1720.4
C00640102,500
C00653550,275
C00648766,823.13
C00635342,859.3
C00649988,8472.4
C00655043,254.2
C00637272,1904.42
C00648998,712.4
C00656116,221.37
C00435099,2948.82
C00650895,303.4
C00650242,1160.16
C00649285,2854.06
C00641548,1125
C00443580,1922.03
C00646547,1418.5
C00634543,8119.13
C00650507,10961.36
C00662213,9720.58
C00638254,11366.65
C00653840,4038.0699999999997
C00638999,1318.1799999999998
C00639591,7008.09
C00652354,12827.78
C00639955,47.96
C00666149,43047.28
C00639567,100
C00640698,1160.34
C00668608,37426.27
C00641027,1123.44
C00656744,1715.14
C00647099,916.01
C00647081,1693.53
C00634683,15834.09
C00648006,715.89
C00648287,400.93
C00649095,203.5
C00003418,803.16
C00650481,2389.91
C00650705,3842.98
C00658567,6997.95
C00650812,50.489999999999995
C00565523,139.59
C00651851,2565.62
C00651992,1810.62
C00671032,17607.670000000002
C00652776,249.01999999999998
C00654095,79318.19
C00653451,612.79
C00655183,18459.26
C00657320,1420.33
C00658351,5268.99
C00660126,1725.68
C00659284,2084.98
C00661389,5254.4
C00661116,1627.61
C00665752,34542.54
C00666313,328.95
C00681296,667.85
C00671057,2192.39
C00671412,2368.47
C00671875,1898.39
C00681767,300
C00649509,625.66
C00680256,1125.14
C00669481,404.94000000000005
C00640375,507.67
C00590307,84.96
C00657833,18227.19
C00657411,24022.64
C00658583,2713.31
C00670257,8397.85
C00666677,6617.23
C00607531,4098.33
C00665612,1039.14
C00674507,2939.31
C00256925,2193.26
C00193342,3200
C00528182,363
C00632059,2406.04
C00501643,3950.7200000000003
C00669531,5166.03
C00286500,913.3
C00482984,238.78
C00673681,4046.56
C00668400,3157.73
C00672311,47991.55
C00675876,40.4
C00668285,1026.09
C00637793,29.33
C00662379,166.55
C00637496,523.36
C00648329,101.7
C00665802,348.96
C00646844,78399.38
C00660852,418.78
C00658245,1221.25
C00665059,1054.41
C00664375,10553.18
C00651117,177.09
C00664565,83.3
C00405431,3503.48
C00659342,71
C00670307,308.40999999999997
C00664755,250
C00657882,384.15
C00640110,27127.32
C00592113,1029.39
C00419630,175.53
C00646612,979.57
C00550871,25.21
C00660324,103
C00656033,600
C00667105,510
C00660431,140
C00636621,477.6
C00663880,756.26
C00305052,24161.96
C00648048,550.72
C00662205,3008.83
C00503094,563.6
C00664490,568.8
C00651885,34.58
C00659540,287.73
C00660753,86.7
C00655860,1025.59
C00655233,1380.48
C00653204,15209.29
C00658286,8054.23
C00649236,15160.64
C00543231,1275.08
C00258855,17162.81
C00658724,460.53
C00641340,515.21
C00677286,1775.08
C00661009,1110.7
C00476291,2580.9
C00271312,208
C00433391,1023.14
C00650804,2465.07
C00653220,6476.8099999999995
C00661637,4896.4000000000005
C00679852,1500
C00674259,4755.61
C00659235,8523.7
C00639013,431.76
C00646372,2000
C00673525,9862.4
C00670034,5085.83
C00661173,3136.77
C00668699,3698.09
C00552810,1282.16
C00545749,1354.88
C00673350,1407.94
C00668491,20584.02
C00672568,3075.21
C00658419,3757.61
C00646521,400
C00636555,275
C00657841,5619.22
C00590067,119983.31
C00671859,3373.82
C00670828,2000
C00636092,10271.58
C00674887,61.68
C00650358,2862.3799999999997
C00651562,100
C00669143,9880.51
C00663054,10347.08
C00658674,1176.73
C00658328,243.45000000000002
C00646398,209
C00593525,1266.6100000000001
C00543926,1121.2
C00666453,592.82
C00664342,697.87
C00652743,3305.86
C00650226,33257.72
C00664409,6336.95
C00656090,5875.2
C00499467,4356.22
C00647313,598.16
C00678326,2034.21
C00650259,3718.76
C00438697,755.52
C00666057,169.26
C00661678,60.75
C00556506,773.1500000000001
C00662171,11744.57
C00654525,5927.37
C00650366,36831.72
C00652198,142.7
C00638973,391.56
C00670943,240.68
C00647461,1224.38
C00675728,2730
C00669234,437.09
C00651588,263.51
C00376665,2156.9900000000002
C00670364,2714.65
C00229377,2536.12
C00253187,88.97
C00308742,151.9
C00667006,45000
C00666289,41.13
C00671701,51.8
C00668574,327
C00654988,2021.96
C00373563,413
C00657874,175
C00675587,2820.63
C00310318,5665.73
C00395848,490.71
C00445023,378.21
C00457556,1382.1200000000001
C00462374,2337.74
C00659763,336.6
C00648519,251.6
C00167585,445.6
C00386532,538.81
C00638411,4103.24
C00647610,35775.33
C00648055,494.56
C00672451,1736.32
C00498568,54314.15
C00550707,4839.12
C00499236,2530.98
C00650697,2239.46
C00569707,351
C00532721,89.13
C00631978,557.12
C00461822,966.8
C00640961,2232.41
C00664680,378.49
C00661405,4942.51
C00650622,6896.66
C00676650,3088.33
C00677096,6866.69
C00680934,41763.97
C00680488,3603.91
C00461806,2851.04
C00678060,255
C00673467,2007.45
C00680918,614.71
C00675777,225
C00638023,11002.18
C00498345,736.24
C00668087,867.12
C00655647,977.75
C00676528,3680.74
C00646489,303.41
C00680900,29.04
C00661868,13954.67
C00648923,693.95
C00659755,200
C00660977,3117.57
C00667253,278.47
