committee_id,postage
C00638510,13224.01
C00651026,1030.72
C00420745,7667.04
C00481911,20472.87
C00658708,70579.89
C00651851,610.6
C00657122,2349.55
C00639807,2590
C00646455,450
C00412759,1211.94
C00636381,4066.04
C00612432,95426.06
C00539866,804.72
C00545616,1397.35
C00657304,4225.51
C00667931,5000
C00466870,1917.72
C00611707,20
C00667295,266.41
C00648170,1063.4
C00543967,16301.7
C00673558,550
C00670034,6369.16
C00678904,6438.96
C00639013,16711.37
C00472365,53305.880000000005
C00649491,973.45
C00657650,5799.1
C00657635,4584.3
C00663310,314.38
C00636571,22137.57
C00670935,27212.99
C00467571,39179.69
C00657213,1608.5
C00660837,58.98
C00639427,11163.87
C00678557,5.93
C00509729,6.36
C00654509,227797.46
C00655647,31116.25
C00667378,1007.9
C00116632,938.25
C00660597,503
C00576173,2329.88
C00649632,649
C00326363,104746.92
C00671891,208437.9
C00546846,20403.260000000002
C00303305,21822.53
C00671446,198.4
C00649400,43784.54
C00308742,2523.33
C00460063,16293.7
C00372532,8739.55
C00510958,3775.75
C00673632,584.8199999999999
C00511568,222.76
C00639641,2844.94
C00661595,1158.31
C00652149,84253.39
C00659201,68
C00460550,27426.43
C00512236,845557.44
C00672162,1500
C00652743,4806.7
C00544445,262.57
C00418293,66.7
C00444471,6830.79
C00680876,1801.55
C00376665,6059.25
C00592659,244.05
C00510164,23038.23
C00559393,2138.12
C00652628,115949.84999999999
C00641381,17292.67
C00467522,9770.65
C00631945,46660.99
C00655910,5077.02
C00614305,1033.04
C00648907,814.77
C00656769,1421.63
C00577353,3157.54
C00614776,14505.21
C00561597,4650.17
C00345546,2604.45
C00660795,3624.93
C00658286,3865.67
C00592048,36806.020000000004
C00658807,1459.8
C00672345,260.94
C00663435,1900
C00650994,2636.7
C00630384,195202.24
C00415182,615.72
C00656058,420
C00652388,4894.63
C00386748,10992.58
C00655860,11732.33
C00660134,75865.42
C00649913,127430.48
C00370650,7817.47
C00563668,35560.21
C00477323,694.6
C00665216,487.21
C00664516,750
C00641415,398.23
C00664375,8367.33
C00398644,6210.48
C00512970,32714.93
C00464495,21.98
C00670737,2088.39
C00641498,510.23
C00657601,44817.22
C00657106,9814.26
C00543363,94730.44
C00662650,7461.9
C00655613,10715.16
C00662080,251.46
C00652065,31990.04
C00638205,1720.7
C00637876,62758.939999999995
C00662940,409.04
C00650242,1881.5
C00651562,1086.57
C00578567,9782.09
C00442921,3285.2
C00663427,792.2
C00660977,4220
C00481341,71989.11
C00649418,1258.91
C00666420,4632.68
C00662379,148.4
C00668475,49906.990000000005
C00438697,32645.53
C00655902,265
C00666966,22.349999999999998
C00657056,3428.0600000000004
C00652396,128941.9
C00650028,686.38
C00666164,3205.4
C00668137,44001.04
C00680181,7697.9
C00385773,172871.24
C00662577,59604.8
C00641001,3205
C00573949,1045.55
C00370056,8055.66
C00646612,21290.53
C00435099,11014
C00654574,644.07
C00655084,7631.51
C00660050,925.4599999999999
C00466516,2763.3
C00552588,261.85
C00632067,15331.8
C00650531,1491
C00659177,33029.09
C00410969,34272.73
C00405431,16749.65
C00327023,15171.21
C00661777,690.0600000000001
C00655571,2018.1
C00459297,14567.519999999999
C00665869,400
C00652800,163767.21
C00156612,2391
C00575050,4089.39
C00660449,2749
C00658336,47257.22
C00500207,1334.8700000000001
C00667436,464.6
C00651521,49.4
C00462697,2001.46
C00633867,292.6
C00459099,5395.0199999999995
C00641035,192.01
C00646810,72
C00662619,3339
C00464602,91779.09
C00647131,834.11
C00640714,10295.07
C00556365,9360.62
C00547893,19630.22
C00450049,32840.19
C00613497,1256.25
C00662874,5700.15
C00476820,3476.8
C00666461,1501.48
C00561530,11386.45
C00638254,2323.3199999999997
C00675215,196112.14
C00655548,52.7
C00577999,19927.79
C00166504,32264.03
C00671081,104.72
C00653121,18977.08
C00572859,53860.31
C00631572,7071.79
C00650440,8426.09
C00285171,1967.26
C00513077,2299.22
C00660472,36040.77
C00513531,32784.13
C00514513,40080.19
C00647057,29810.48
C00520379,2330.31
C00638353,2231.31
C00516666,445.89
C00371302,4428.11
C00502229,10068.39
C00629287,65675.03
C00662668,3183.7
C00657676,6224.91
C00664151,61.52
C00649079,250.4
C00649798,695.8000000000001
C00408534,4594.18
C00677898,8210.1
C00658492,9281.98
C00673384,633
C00608695,2075.17
C00667741,9324.42
C00582296,8920
C00444968,7488.94
C00648006,9390.689999999999
C00649897,34916.63
C00664797,1176.69
C00394957,61510.36
C00656785,911.21
C00435974,33647.01
C00540617,69179.65
C00663591,1702.04
C00610212,7451.49
C00441295,5852.56
C00661561,5886.69
C00675025,629.5
C00649327,2705.65
C00083428,1030.2
C00607200,18656.71
C00633057,312.69
