committee_id,research
C00648253,26000
C00647925,74821.26
C00664540,20.2
C00649558,6322.9
C00649913,2000
C00650077,26000
C00632257,55000
C00650150,12540.5
C00650507,63082.8
C00650671,3500
C00652149,5025
C00652172,42650
C00652651,30600
C00652800,6000
C00653121,20000
C00653576,29999
C00653816,13000
C00656215,13000
C00655613,10102.93
C00656371,14000
C00657387,14880
C00662544,30250
C00658062,32000
C00658385,69567.14
C00658625,4003.1
C00658633,23000
C00661116,2500
C00650929,2500
C00665711,7000
C00668806,24825
C00668160,762.5
C00666842,20322.5
C00667097,75991.25
C00668491,20500
C00671875,200
C00639641,176.92
C00616920,399
C00638601,1000
C00648006,5750
C00664417,3000
C00472365,45140.33
C00680876,10000
C00670992,3500
C00674507,2050
C00472241,3000
C00665331,9080
C00670844,12800
C00658328,31268.09
C00610964,29500
C00458828,250
C00304709,32660
C00510164,36702.16
C00441014,34768.16
C00632059,7800
C00310532,7500
C00458877,10000
C00672311,89101.48
C00677096,59900
C00649087,6000
C00646612,9090.49
C00649731,1000
C00636951,5000
C00673111,500
C00637272,7500
C00654855,27000
C00664375,14500
C00663914,3000
C00652891,139.96
C00664367,22800
C00512426,12459.5
C00660282,52
C00663161,7339.3
C00663310,2000
C00649129,7500
C00663849,35100
C00667436,14155.73
C00667253,20500
C00661165,98659.82
C00673343,19522.82
C00468256,500
C00441352,7500
C00554899,2500
C00649863,14500
C00639252,7500
C00659797,250
C00629949,28000
C00639989,16500
C00655548,6000
C00552547,13564.03
C00658286,27500
C00614776,12569.04
C00649236,7500
C00657056,7500
C00414318,38600
C00638650,46541.15
C00667519,22457.07
C00646752,31024.85
C00668798,5000
C00370056,73429.95
C00433391,71305.23
C00605592,50324.4
C00661637,10500
C00659177,75550
C00639310,18100.23
C00668228,8500
C00555813,1600
C00660118,5000
C00444620,15966
C00658401,15199.45
C00661678,2250
C00662270,500
C00649798,47238.38
C00312017,43350
C00661173,44100
C00512970,11500
C00668699,10500
C00657650,9850
C00462861,10645.6
C00673533,5000
C00640003,63443.14
C00503052,42498.87
C00338954,28739.16
C00476564,2250
C00666743,8016.95
C00654079,25140.35
C00675041,1000
C00673350,42469.1
C00655183,6250
C00658419,81600
C00657841,37930
C00552810,2800
C00581595,39450
C00671859,28450
C00466516,10500
C00667915,3000
C00444224,59647
C00470757,16000
C00258475,3000
C00259143,1960.63
C00666685,500
C00640961,550
C00434191,37500
C00639591,450
C00558486,10354.5
C00649608,7500
C00654095,8300
C00664409,42933.81
C00656090,47749.479999999996
C00498667,21500
C00666529,220
C00614826,5000
C00654525,5250
C00650366,20950
C00200584,84100
C00639526,3000
C00630434,750
C00213611,4250
C00279851,1051.52
C00286187,1500
C00273169,24360.21
C00311043,10500
C00311639,19000
C00331769,5000
C00346080,4500
C00200865,6500
C00386748,20900
C00386847,1400
C00397505,1000
C00646455,4504.3
C00641431,4358.9
C00582304,17600
C00660555,3600
C00667741,43725
C00435974,450
C00472704,5000
C00472878,31500
C00654277,1500
C00572859,3451.36
C00636621,3500
C00648220,7500
C00464032,2500
C00501643,17500
C00554949,30250
C00500421,23500
C00543363,8500
C00650622,1151
C00648055,32000
C00439661,5000
C00395848,3500
C00680488,7200.79
C00628917,6000
C00661405,50775
C00676668,6500
C00236513,2654.33
C00545467,5000
C00545616,8500
C00376087,17500
C00607101,247.5
C00461822,6000
C00635797,300
C00662171,7506.39
C00474189,15000
C00548180,9350
C00597724,7000
C00631564,6500
C00638783,1000
C00640763,5000
C00648907,437.5
C00649962,237.6
C00652214,23000
C00653162,4500
C00655225,2700
C00657320,15212.75
C00657619,316
C00664565,4000
C00665802,3400
