"","committee_id","total","advertise","poll","research","fundraise","pay","materials","consulting","event","mail","travel","smedia","radio","television","website","newspaper"
"518","C00512236",4549171.36,3689,NA,41630,308989.26,NA,NA,595776.58,36428.44,1253545.86,1969.37,NA,NA,NA,418.73,NA
"519","C00512426",4840424.18,6986,89000,12459.5,101333,576563.72,NA,311215.34,4086.8,52071.33,NA,NA,NA,NA,NA,NA
"520","C00512970",3365459.39,702548.1,NA,11500,392010,290358.91,NA,585085,51331.21,32714.93,4959.94,NA,NA,NA,22500,NA
"521","C00513077",2035726.88,975,NA,74981.85,102500,416798.49,79689.23,859836.85,41066.76,35392.98,9837.85,NA,NA,NA,NA,NA
"522","C00513531",923596.62,109084.94,NA,NA,83366.96,NA,NA,84494.81,45691.61,32784.13,61779.49,NA,NA,NA,380,NA
"523","C00514265",16240.9,NA,NA,NA,NA,NA,NA,16240.9,NA,NA,NA,NA,NA,NA,NA,NA
"524","C00514513",1621319.97,2000,7000,5500,68595.46,40646.07,NA,280301.1,NA,40080.19,24742.36,NA,NA,NA,NA,NA
"525","C00514554",28822.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526","C00514745",2117.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","C00514893",1351858.8,24950,NA,16500,168290,191719.29,NA,403621.44,122888.19,3013.4,15924.8,NA,10350,NA,NA,NA
"528","C00516443",109030.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","C00516666",1411068.19,295,NA,NA,260631.1,123291.16,NA,304279.73,115361.48,21643.02,72823.61,NA,NA,NA,2804.13,NA
"530","C00516922",251542.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531","C00518365",20267.53,NA,NA,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532","C00518654",4251146.01,1833,58000,NA,284793.83,NA,NA,558371.68,3102.51,257920.26,35623.9,NA,NA,NA,575.91,NA
"533","C00519355",563245.87,1250,NA,NA,209296.63,332.25,12688.17,239875.43,3479.5,29992,2059.75,NA,NA,NA,NA,NA
"534","C00519645",23309.09,10,NA,NA,NA,NA,NA,NA,24,13057.2,NA,NA,NA,NA,NA,NA
"535","C00519900",34882.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536","C00520064",24895.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6850,NA
"537","C00520379",1892574.45,9319.12,NA,NA,176713.03,29702.56,NA,339404.53,22831.71,2330.31,4138.89,NA,NA,NA,2500,NA
"538","C00521021",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539","C00521948",4077645.61,20985.37,72410,NA,576879.44,224093.37,NA,971713.76,23134.99,145930.18,39568.11,NA,600,NA,2159.46,973.42
"540","C00523902",10683.37,3864.89,NA,NA,73.9,NA,4050.95,NA,NA,1287.05,NA,NA,NA,NA,NA,NA
"541","C00527457",2653611.47,1415,NA,NA,204836.13,188661.27,NA,285675.61,14722.41,11550.42,1413.28,NA,NA,NA,2260.75,NA
"542","C00528182",357255.15,36241,NA,NA,71238.18,NA,NA,122245.43,64662.75,196,363,NA,28319,NA,8265.99,NA
"543","C00532721",486.31,NA,NA,NA,NA,NA,NA,NA,NA,21.44,89.13,NA,NA,NA,160,NA
"544","C00536680",740762.34,13625,NA,NA,152103.63,NA,668.94,3000,182763.57,6688.08,4420.02,NA,NA,NA,NA,NA
"545","C00538637",9355.26,NA,NA,NA,NA,122.58,NA,NA,NA,258,NA,NA,NA,NA,NA,NA
"546","C00539866",879434.75,4574.8,NA,NA,331413.38,13198.87,NA,329748.24,132107.42,2329.72,18696.03,NA,3314.8,NA,3500,NA
"547","C00540617",2015444.87,217058.36,7300,1000,162382.59,10361,NA,569430.79,45944.3,333163.7,4091.07,NA,NA,NA,95,NA
"548","C00540856",8169.86,NA,NA,NA,NA,1799.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","C00541227",42384.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550","C00541243",18100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551","C00541359",2192.8,142.53,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA
"552","C00541680",640.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","C00541862",1511465.51,404290.39,NA,NA,52666.55,227718.76,1980,624410.54,366997.18,35007.67,94520.37,NA,126544,NA,5612.5,35156.35
"554","C00541888",1451400.12,20362.72,NA,10000,205483.37,61295.7,NA,309900,26487.09,6522.08,NA,NA,NA,NA,8245.86,NA
"555","C00542480",734.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"556","C00543231",809135.87,24742.34,8000,NA,166230.72,13895.81,NA,87618.31,17919.52,5025.55,1275.08,NA,NA,NA,NA,NA
"557","C00543249",1256930.13,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,1195.32,NA
"558","C00543363",973300.55,NA,64143,8500,146455.85,60472.03,NA,43129.84,24830.62,183891.44,36161.01,NA,NA,NA,725,NA
"559","C00543371",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"560","C00543553",4907.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"561","C00543843",408527.95,NA,36200,NA,7142.86,82414.36,NA,51701.26,230.85,122039.88,1498.19,NA,NA,NA,NA,NA
"562","C00543892",661408.85,8484.53,NA,NA,113969.04,NA,NA,275380.2,36280.26,2657.22,2136.74,NA,NA,NA,NA,NA
"563","C00543918",4115.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564","C00543926",2771643.63,1557413.52,29453,NA,60740.68,NA,NA,145937.76,4290.87,90732.85,1121.2,1898.16,NA,1329835.38,388.94,112535.57
"565","C00543967",1483092.7,NA,NA,NA,228496.73,3671.74,NA,327163.11,199140.05,84689.56,3875.86,NA,NA,NA,2860,NA
"566","C00544007",1645.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"567","C00544445",659540.98,8077.92,NA,NA,21919.55,NA,NA,459700.3,16131.09,262.57,260.1,NA,NA,NA,2080.68,NA
"568","C00544635",1541.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","C00545384",14169.12,NA,13865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570","C00545467",5330743.4,126619,51294.5,5000,269020.64,447419.63,NA,817154.03,15880.38,480363.6,103587.31,NA,NA,NA,NA,NA
"571","C00545616",2912205.01,31043.44,100675,8500,208148.5,664.86,NA,537626.45,146801.95,6489.69,8387.69,NA,NA,NA,316.05,NA
"572","C00545673",961312.71,38349.61,30695.34,NA,247057.4,NA,NA,278388.32,16261.4,9098.48,32990.65,NA,NA,NA,412,NA
"573","C00545681",118547.78,5061.26,NA,NA,NA,NA,NA,13141.96,NA,NA,NA,NA,748,NA,NA,NA
"574","C00545749",2160344.85,147115.78,NA,NA,403827.38,NA,NA,817478.27,51073.59,224681.91,1354.88,NA,NA,NA,NA,NA
"575","C00546077",42594.62,NA,NA,NA,NA,2018.17,NA,NA,NA,NA,1870.64,NA,NA,NA,NA,NA
"576","C00546358",517742.87,74533,NA,NA,106327.79,902.5,NA,105815.21,9256.6,17155.66,4354.48,NA,10540,24013,377,NA
"577","C00546499",2965027.29,4412.92,47974.09,9974.7,285063.26,100987.6,NA,386291.94,101934.88,1800.35,31099.37,NA,NA,NA,1050,NA
"578","C00546549",20447.99,NA,NA,NA,NA,2157,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA
"579","C00546580",1952.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.36,NA
"580","C00546846",5317829.42,7729.45,90144.76,90500,698392.26,6328.96,NA,1028783.81,58041.81,53203.26,31235.64,NA,NA,NA,NA,99.95
"581","C00546853",6117614.5,301601.18,NA,1000,597846.21,301176.33,2240.57,263042.19,356249.39,764572.12,94431.33,NA,NA,NA,NA,NA
"582","C00547240",3737058.25,201458.16,NA,5389.59,107826.38,1985470.79,NA,607162.8,135570.27,3888.3,2540.44,NA,NA,NA,432,83.16
"583","C00547281",6547.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","C00547885",6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585","C00547893",3000778.86,NA,NA,112900,NA,223600.66,NA,910244.7,135,19630.22,92984.48,NA,NA,NA,NA,NA
"586","C00548040",3900,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587","C00548131",363088.11,NA,NA,NA,NA,NA,NA,78119.08,NA,NA,NA,NA,NA,NA,NA,NA
"588","C00548180",1421634.29,14378,54052.9,9350,264654.17,65108.77,NA,372767,18014.55,386606.42,82790.74,NA,9089,NA,NA,NA
"589","C00548560",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590","C00548727",4111.12,823.56,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,598,NA,NA,NA
"591","C00548925",726188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"592","C00548941",410359.25,100,NA,NA,27105,205,NA,76607.03,25559.6,5302.04,NA,NA,NA,NA,NA,NA
"593","C00549188",27464.22,NA,NA,250,NA,15858.22,NA,1100,NA,26,NA,NA,NA,NA,NA,NA
"594","C00549352",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595","C00550087",500,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596","C00550178",750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597","C00550301",21580.04,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA
"598","C00550608",46741.79,NA,NA,NA,NA,141,NA,8935,NA,122.2,1347.69,NA,NA,NA,NA,NA
"599","C00550707",1778831.01,931501.43,50995,NA,142603.8,NA,NA,286735.58,23779.94,84645.08,4839.12,NA,858,NA,2119,NA
"600","C00550848",5054.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601","C00550871",91295.71,NA,NA,NA,583.98,9761.51,NA,NA,5632.25,184.19,25.21,NA,NA,NA,NA,NA
"602","C00551275",3724588.46,3710352.55,21500,NA,290639.8,212484.17,NA,456756.62,158940.35,60989.75,55303.58,NA,492,1737681,NA,18661.15
"603","C00551374",1511405.64,32104.78,16248,NA,140866.34,NA,NA,272495.79,73519.28,22.47,2256.68,NA,7576.4,NA,1955.42,5756.5
"604","C00551572",5923.99,NA,NA,NA,NA,182.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605","C00552430",25840.5,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,213.52,NA
"606","C00552547",4703154.55,93967.82,128645,13564.03,233040.29,NA,157.59,60777.34,245561.97,888210.85,3899.42,116529.36,7184.99,NA,NA,7573.83
"607","C00552588",575132.06,NA,NA,NA,161265.9,93259.58,NA,NA,12318.69,261.85,24467.97,NA,NA,NA,64.68,NA
"608","C00552604",3663.15,176.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416.09,NA
"609","C00552786",3785.28,NA,NA,NA,NA,NA,NA,NA,NA,506.98,NA,NA,NA,NA,NA,NA
"610","C00552810",205065.1,28217.75,1200,2800,NA,21000,NA,8950,2732.59,131.96,1282.16,NA,4411.75,8576.85,NA,2473.65
"611","C00553842",4175.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612","C00553859",1121169.91,73257.05,NA,NA,250933.34,NA,NA,301504.39,13001.3,1624.59,939.52,NA,NA,NA,396.36,18061.65
"613","C00553917",13300,NA,NA,NA,NA,NA,NA,13300,NA,NA,NA,NA,NA,NA,NA,NA
"614","C00553990",11983.59,NA,NA,NA,NA,NA,NA,1100,NA,NA,NA,NA,NA,NA,NA,NA
"615","C00554014",2793469.07,2848639.57,65112,NA,237231.73,213541.92,NA,312152.2,56503.23,89011.37,64317.85,11941.77,1162257.56,50074.22,NA,NA
"616","C00554113",834552.6,10047.46,NA,NA,212799.36,NA,NA,286549.36,25860.03,2684.88,9041.68,NA,NA,NA,882.78,1914.75
"617","C00554261",6898680.54,3032695.87,121857.59,33330.03,405870.39,556336.07,NA,679580.32,11439.59,781148.75,NA,NA,NA,NA,13599,975.82
"618","C00554311",262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","C00554337",13133.01,NA,NA,NA,NA,NA,NA,1625,NA,NA,3831.39,NA,NA,NA,NA,NA
"620","C00554352",10772.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621","C00554493",750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","C00554709",487559.36,NA,NA,NA,160017.83,10393.54,NA,170857.28,7735.93,1320.28,6474.81,NA,NA,NA,NA,NA
"623","C00554899",1381054.94,9497.67,28165,2500,298406.62,24007.78,NA,196775,5179.86,2854.76,5936.22,NA,NA,NA,825,NA
"624","C00554949",3498879.51,1731655.76,72700,30250,258451.88,86647.75,15460.09,633280.19,132587.37,182688.43,23423.87,NA,NA,NA,2178.3,NA
"625","C00554972",101851.48,NA,NA,NA,NA,NA,NA,14389.19,NA,NA,NA,NA,NA,NA,NA,NA
"626","C00555219",4945.96,300,NA,NA,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627","C00555458",15687.49,NA,NA,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,413,NA
"628","C00555813",1751655.15,1250,52500,1600,333377.34,81721.69,34528.31,667781.34,75008.99,68557.96,31376.97,NA,NA,NA,NA,NA
"629","C00555821",2193.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630","C00555888",1985428,2325,NA,NA,167794.5,332498.1,535,168388.99,7880,12245.23,8461.27,NA,NA,NA,1265,NA
"631","C00556365",3172475.61,211443.5,96600,150,168218.91,NA,NA,431293.91,146338.92,45098.13,48378.72,NA,NA,NA,NA,NA
"632","C00556506",1230725.31,9075,NA,NA,254701.03,3000,NA,47527,21398.66,14699.67,773.15,NA,NA,NA,3034.3,NA
"633","C00556670",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"634","C00556944",76884.92,NA,NA,NA,NA,445.52,4579.06,NA,NA,NA,NA,NA,NA,NA,2466.66,NA
"635","C00557124",103780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636","C00557181",664908.27,124853.3,NA,39000,102255.66,28972.41,NA,196005.66,6558.58,5216.76,NA,NA,NA,NA,300,NA
"637","C00557215",860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","C00557256",500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","C00557520",4960624.32,150575.38,127500,6250,199259.64,307997.86,NA,261767.86,13714.98,3122.84,123633.66,NA,NA,NA,389.8,11750
"640","C00557652",780708.04,39026.76,NA,28750,142998.66,NA,NA,161718.37,24900.42,302278.33,7293.77,NA,NA,5570,5935.49,NA
"641","C00557694",2249,NA,NA,NA,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,NA
"642","C00557884",6575.43,NA,NA,NA,1000,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA
"643","C00558171",33.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644","C00558205",1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","C00558213",1356287.19,515,36000,NA,127978.29,171000.06,NA,256904.7,7273.99,1289.9,26397.29,NA,NA,NA,2343.4,NA
"646","C00558320",1560522.58,44907.96,88200,NA,361516.11,594.57,4502,565857.58,6125.83,155689.59,13863.02,52300,NA,NA,NA,NA
"647","C00558387",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA
"648","C00558437",964223.06,520,NA,NA,212656.45,NA,NA,224381.45,64670.03,1173.02,28373.13,NA,520,NA,3956.15,NA
"649","C00558486",2132145.91,29822.51,20465,10354.5,269961.32,NA,NA,577987.41,56588.24,250.12,70247.89,NA,NA,NA,NA,NA
"650","C00558510",1017042.11,3193.08,28128.02,NA,125943.58,46343.8,NA,11193.08,27021.24,7541.58,NA,NA,NA,NA,1185,NA
"651","C00558528",310.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","C00558627",939343.22,21850,21557.54,28500,192075.44,NA,NA,228573.82,38955.06,46935.66,38373.13,NA,NA,NA,NA,NA
"653","C00559393",1101350.26,96151.7,21000,NA,260978.55,85984.19,NA,401259.99,32195.11,4316.33,2432.87,NA,NA,NA,5190,2595
"654","C00559492",112973.24,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA,NA,NA
"655","C00560169",17643.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"656","C00560847",704588.1,440390.36,19500,NA,2540,43709.64,NA,20500,7269.29,2190.88,4744.05,3675,NA,NA,459.69,NA
"657","C00560920",8016.44,429.38,NA,NA,NA,NA,NA,250,NA,257.95,NA,NA,NA,NA,NA,NA
"658","C00561001",3394361.28,115820,NA,22000,NA,79492.45,NA,NA,25173.89,2503.6,5281.08,NA,NA,NA,4805.45,NA
"659","C00561183",195554.45,NA,NA,NA,37703.16,2524.94,NA,69385.29,NA,NA,NA,NA,NA,NA,NA,NA
"660","C00561332",144.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","C00561530",1218069.36,543640.06,NA,NA,71980.46,49612.58,NA,86511.64,138257.15,12935.26,2881.92,NA,269986.75,224051.31,9875,8702
"662","C00561597",1927584.87,941379.38,37509,NA,176256.16,171168.11,NA,320551.98,32197.97,85577.34,7530.09,NA,1697.95,917147.21,NA,712
"663","C00562181",126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"664","C00563668",81943.91,1547.3,NA,NA,NA,NA,1669.5,NA,NA,35560.21,NA,724.33,797.3,NA,159,NA
"665","C00563940",1042046.62,742382,NA,NA,20511.17,NA,NA,319030.9,41914.67,145.15,2562.28,NA,1300,354446,177.7,NA
"666","C00564450",52.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"667","C00564948",4279.68,NA,NA,650,610.22,NA,NA,235,NA,650,NA,NA,NA,NA,330,NA
"668","C00565218",179.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","C00565366",29849.06,1111.6,NA,NA,1390,NA,NA,516,600,NA,NA,NA,1111.6,NA,4000,NA
"670","C00565507",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"671","C00565523",2288.87,1105.16,NA,NA,NA,NA,NA,NA,610,58.87,139.59,NA,NA,NA,NA,NA
"672","C00565663",500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","C00566000",34571.15,9927.5,NA,NA,NA,NA,NA,NA,300,123.5,NA,NA,NA,NA,NA,NA
"674","C00566232",3790,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,1200,NA
"675","C00566307",8550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4831.04,NA
"676","C00566869",867.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677","C00567388",16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678","C00567677",42493.23,NA,NA,NA,NA,NA,NA,NA,1170.65,NA,NA,NA,NA,NA,NA,NA
"679","C00569152",6600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680","C00569343",50295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","C00569707",26951,NA,NA,NA,NA,NA,NA,NA,NA,20406,351,NA,NA,NA,NA,NA
"682","C00570457",67634.87,NA,NA,NA,26289.08,NA,NA,28289.08,13118.22,NA,935.74,NA,NA,NA,NA,NA
"683","C00570945",5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","C00571455",14626.27,NA,NA,NA,NA,207.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685","C00571554",1500,NA,NA,NA,NA,NA,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA
"686","C00571562",181005.32,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA
"687","C00571869",3099635.78,1093390.81,77070,NA,258195.07,77724.63,NA,805328.07,16213.8,135116.59,NA,NA,NA,NA,5360,NA
"688","C00571943",20.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"689","C00572073",359.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","C00572099",4430.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","C00572149",6263.71,4542.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28,NA
"692","C00572339",48915.75,NA,NA,NA,NA,147.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693","C00572560",1550636,516826.42,NA,NA,23896.39,NA,NA,136044.8,15615.35,80855.42,5610.53,NA,34227.5,393170.01,6600,NA
"694","C00572602",178017.06,1921.89,NA,NA,548,NA,NA,69692,548,28833.04,NA,NA,1000,NA,NA,NA
"695","C00572859",3156428.72,50550,82683.27,3451.36,75677,641456.45,NA,137268.54,3254.86,93860.31,4682.35,NA,NA,NA,50,NA
"696","C00573063",7807.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","C00573352",89110.62,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA
"698","C00573378",674430.85,NA,22500,NA,88649.16,NA,NA,357941.82,10926.37,236,2352.23,NA,NA,NA,432,NA
"699","C00573386",41138.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","C00573477",11533.54,NA,NA,NA,NA,NA,NA,3491.03,8042.51,NA,NA,NA,NA,NA,NA,NA
"701","C00573592",29130.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","C00573949",3041452.62,48864.71,55473,35000,209714.67,319767.94,NA,229166.72,14535.39,1045.55,14243.73,NA,NA,NA,444.88,NA
"703","C00573980",1006311.81,1000,NA,NA,184671.63,NA,5696.67,158954.39,61581.17,23753.68,31845.8,NA,NA,NA,570,NA
"704","C00574079",16565.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705","C00574236",2500,NA,NA,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA
"706","C00574434",359.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"707","C00574640",539387.15,NA,NA,NA,177639.28,7311.92,NA,206086.22,14264.66,201.95,1627.39,NA,NA,NA,NA,NA
"708","C00575035",12326.43,NA,NA,NA,NA,NA,NA,505.17,NA,NA,NA,NA,NA,NA,NA,NA
"709","C00575043",12527.66,NA,NA,NA,NA,61.91,NA,NA,NA,NA,NA,NA,NA,NA,414,NA
"710","C00575050",1319682.93,4839.77,9910,NA,372732.46,945.05,NA,412041.39,142686.92,72007.12,22105.79,NA,NA,NA,NA,315.45
"711","C00575092",2234614.31,52250,NA,34400,66785.51,405192.32,1007.98,267819.33,51037.25,6865.39,27354.19,NA,NA,NA,3725,NA
"712","C00575126",861843.26,24,NA,NA,87238.59,137614.06,NA,95509.25,30470.4,2183.78,17748.54,NA,NA,NA,12224.87,NA
"713","C00575167",2697022.22,1081214.5,37344.82,4165.8,329506.33,386950.59,NA,417726.55,19871.67,22969.21,35936.45,NA,9990,117000,10456,4675
"714","C00575209",6021218.43,2160,117246.63,NA,62274.33,914879.87,NA,243857.39,12002.8,136693.88,26249.23,NA,NA,NA,9885.47,NA
"715","C00575233",10087.5,NA,NA,NA,NA,NA,NA,2468.75,NA,NA,NA,NA,NA,NA,NA,NA
"716","C00575282",35254.14,NA,NA,NA,NA,NA,NA,5754.14,NA,NA,NA,NA,NA,NA,NA,NA
"717","C00575506",82795.55,1387.64,NA,NA,1000,NA,NA,2890.09,300,NA,NA,NA,NA,706.8,NA,NA
"718","C00575639",4867.86,NA,NA,NA,NA,267.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719","C00575860",56548.5,NA,NA,NA,500,NA,NA,16800,NA,NA,NA,22046.62,NA,NA,NA,NA
"720","C00575910",3231.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721","C00576041",2258982.44,640860.29,NA,86700,485226.97,NA,NA,712496.44,70859.26,31006.49,5427.22,NA,NA,605693,10000,NA
"722","C00576173",897619.3,99403.98,7000,NA,203417.41,28.51,NA,222981.28,7588.31,6300.46,43725.97,NA,32030,NA,4279,2111.96
"723","C00576223",377.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"724","C00576348",2344.66,555.9,NA,NA,NA,963.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725","C00576710",18532.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,NA
"726","C00576926",275147.72,8250,NA,NA,NA,8523.29,5221.56,NA,NA,NA,NA,NA,NA,NA,NA,2250
"727","C00577080",13186.74,NA,NA,NA,NA,381.5,NA,1275,NA,NA,NA,NA,NA,NA,839.26,NA
"728","C00577122",185.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"729","C00577270",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"730","C00577353",978770.05,8354.48,18810,6790,125643.55,8331.89,NA,260812.09,1321.95,358383.27,16693.36,NA,NA,NA,NA,NA
"731","C00577585",406.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"732","C00577999",1273445.93,469970.65,48500,NA,107122.54,61613.36,NA,193226.79,6079.64,65178.29,144.06,NA,NA,NA,450,NA
"733","C00578252",23086.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"734","C00578260",3300,NA,NA,3000,NA,NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA
"735","C00578302",672662.79,8620,NA,NA,150419.72,8993.05,NA,6167.5,13273.8,140388.38,657.02,NA,7000,NA,216,1620
"736","C00578401",24231.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
