committee_id,materials
C00646695,352.64
C00675363,318.86
C00477240,28654.13
C00648220,2466.7799999999997
C00647958,367.01
C00661389,138.17
C00674671,669.46
C00660977,134.41
C00660282,52
C00658674,69.31
C00674705,274.99
C00657882,270.13
C00671057,1077.08
C00667253,897.47
C00660522,5800
C00648147,286.59
C00661165,72194
C00672808,1354.6200000000001
C00580415,5162
C00653659,2352.79
C00474189,902.44
C00668574,702.69
C00635870,-1491.37
C00608703,32461.85
C00370056,7110.54
C00636613,4544.05
C00662619,43.78
C00096412,1000
C00661637,4504.52
C00675017,497.25
C00660126,251
C00636696,3041.75
C00672568,37.81
C00597716,0
C00662767,1163.69
C00662403,4279.14
C00670562,2000
C00665182,92.67
C00659763,2516.64
C00676742,1593.48
C00660852,1318.06
C00670505,1626.81
C00434191,30754.62
C00639591,3430.18
C00664342,7778.48
C00552547,157.58999999999997
C00664409,1602.1399999999999
C00656090,118201.99
C00680306,346.23
C00669143,3208.73
C00666107,40
C00654525,689.04
C00672352,20
C00672055,541.99
C00658344,15.99
C00663591,531.11
C00215905,43.5
C00257121,6700
C00273169,21272.74
C00669580,390.6
C00640698,6.7
C00654988,3823.94
C00662809,2769.12
C00679696,875
C00664680,205.68
C00458976,517.17
C00637967,84.7
C00658658,47.7
C00647610,11522.49
C00657692,1303.3
C00634808,1705.64
C00563668,1669.5
C00554949,15460.09
C00441352,874.04
C00650093,407.1
C00650622,6658.11
C00666594,350.12
C00419630,5884.91
C00648055,4124.54
C00664797,528.77
C00659243,78.13
C00673467,445.17
C00660472,760.57
C00669358,8148.71
C00668087,5416.64
C00662171,8827.39
C00663310,1075.25
C00226522,2698.14
C00661868,20241.27
C00376087,7405
C00555888,535
C00606970,65.42
C00633057,36997
C00633859,322
C00648287,53.29
C00649285,83.71
C00650457,511.71
C00665802,5131.6
