committee_id,consulting
C00660118,369896.52
C00663815,1000
C00649129,40675
C00640953,38185.83
C00660522,89228.37
C00663161,305457.09
C00633867,968935.57
C00660274,142262.13
C00646471,120725.44
C00671370,12102.98
C00673988,400
C00646901,312678.38
C00546499,386291.94
C00659920,59208.5
C00371203,486268.73
C00343236,569425.16
C00658336,138045.84
C00464339,426058.65
C00647693,30500
C00654509,313124.41
C00547240,607162.8
C00647669,74478.64
C00661223,134024.4
C00437913,752193.07
C00652388,83951.72
C00651851,251976.26
C00664581,4500
C00509968,215611.46
C00651331,417545.73
C00649491,87642.36
C00640763,223240
C00553859,301504.39
C00661595,59675.5
C00663435,10000
C00655480,15491.82
C00546853,263042.19
C00661355,13467.21
C00651307,32000
C00663104,34500
C00634873,42482.99
C00650473,32248.68
C00632943,59548
C00648998,31198
C00578567,139227.06
C00662767,443215.58
C00659565,26690
C00650507,500377.95
C00662643,11515.63
C00663005,47326.28
C00658724,49611.05
C00657411,704049.72
C00575209,243857.39
C00545673,278388.32
C00629659,330514.27
C00649186,52210.5
C00607556,381993.23
C00640045,196632.45
C00650176,350724.58
C00473132,330518.69
C00303305,879144.31
C00650671,17180
C00653923,87855.45
C00653840,86500
C00650879,60100.08
C00639526,20500
C00215905,238048
C00651315,38622.75
C00649582,3900
C00653659,50527.67
C00655811,6216.42
C00650150,36365.49
C00670463,1500
C00639872,39951.26
C00660753,27209
C00667949,11820.25
C00661900,44180
C00607416,505777.58
C00654921,79179
C00548180,372767
C00652396,136539.34
C00664821,75903.03
C00650457,947913.15
C00662338,39908.15
C00638536,2713.7200000000003
C00213611,187878.64
C00656603,81811.88
C00661686,5000
C00632828,605200.32
C00657437,95463.95
C00657155,60083.98
C00641431,20122.17
C00655134,62164
C00551275,456756.62
C00509299,2500
C00572560,136044.8
C00347492,267269.14
C00271312,385952.29
C00650523,101745.44
C00665711,111765.62
C00636845,108964.16
C00654855,46266
C00675157,31095.99
C00673848,16525
C00424713,142701.53
C00649376,245214.9
C00599464,320778.15
C00666529,22300.809999999998
C00648170,9838.16
C00665828,13500
C00475145,270665.59
C00543967,327163.11
C00652917,39354.6
C00661777,106663.74
C00665349,3000
C00372102,15100
C00670844,76359.74
C00649640,16895.41
C00658922,101360.1
C00510164,201740.94
C00637223,49327.31
C00386847,74032.55
C00409219,324124.85
C00653428,1350
C00665042,18700
C00664060,15500
C00667931,9004.25
C00521948,971713.76
C00658328,83601.72
C00418293,151295.49
C00668756,21876.55
C00437756,2081.4
C00657304,112621.38
C00663542,35050
C00554899,196775
C00630426,4716696.22
C00653592,44150
C00662825,23297.9
C00651372,32739
C00663245,5800
C00649897,726932.35
C00668798,91716.4
C00672824,500
C00665760,940
C00558627,228573.82
C00657122,81000
C00637827,115256.68
C00650481,145530.22
C00412759,327355.5
C00637496,179486.2
C00676841,54121.8
C00652693,198601.99
C00543892,275380.2
C00675876,51155.05
C00634048,14064.56
C00671446,14521.56
C00676668,82250
C00651026,204577.71
C00651471,255065.48
C00675678,38812.23
C00638510,312322.73
C00658708,104952.34999999999
C00673681,125579.98
C00659540,8157.93
C00639807,124538.8
C00677617,6574.3
C00646455,24761.05
C00637546,80146.04
C00544445,459700.3
C00648527,22576.48
C00612432,226811.27
C00650648,1185558.7
C00667519,261225.97
C00410761,56000
C00462556,603115.36
C00666735,20483.34
C00590778,251507.82
C00386755,24027.399999999998
C00640870,9163.21
C00459461,242086.04
C00667832,17349.88
C00673467,7450
C00581330,17530.65
C00541359,250
C00475103,11525
C00667840,8576
C00482737,208273.24
C00630772,23145.94
C00651646,128406.66
C00660050,127673.85
C00654004,55202.76
C00639427,205247.92
C00602672,3412.5
C00576173,222981.28
C00672956,153424.03
C00678326,44846.22
C00639013,38365.35
C00660837,542762.91
C00633057,143305.26
C00671362,8500
C00665356,1000
C00663310,31089.9
C00664508,2735.98
C00673384,11275.130000000001
C00401315,4000
C00574640,206086.22
C00670489,27543.35
C00666339,525
C00670034,90212.19
C00678904,6100
C00650812,98167.29
C00670935,29500
C00617761,16854.05
C00655647,346787.99
C00582296,234733.27
C00678557,750
C00658492,146529.33
C00637231,811.63
C00668194,51262.5
C00649400,176812.96
C00648196,6720
C00660555,374797.66
C00671891,105045
C00372532,567670.04
C00634683,47881.66
C00308742,105733.85
C00618223,150609.74
C00326363,87086.05
C00649210,12700
C00607838,502371.76
C00670505,34950
C00659201,1050
C00676528,71807.76
C00510958,90562.75
C00674325,99657.72
C00652743,506131.13
C00654160,17740.73
C00672162,1000
C00666966,406770.68
C00638403,23301
C00639641,177430.94
C00511568,124386
C00652149,202877.59
C00659623,174306.42
C00614826,159131.07
C00512236,595776.58
C00255562,223318
C00592659,78333.96
C00668269,22786.33
C00673632,6000
C00197160,188634.02
C00444471,104382.31
C00472878,241529.33
C00680439,11173.439999999999
C00196915,1750
C00607937,1498.75
C00662866,51721.34
C00460550,226963.25
C00666941,5500
C00462523,103082
C00647222,40567.9
C00660134,31832.78
C00650994,49261.49
C00667253,106520.87
C00655233,124143.35
C00577353,260812.09
C00637389,49304.2
C00655910,273865.11
C00661892,53070
C00467522,802828.22
C00663070,74216.83
C00559393,401259.99
C00370650,242034.81
C00672345,52910.01
C00528182,122245.43
C00655860,93112.8
C00630384,61292.28
C00663864,372
C00662668,76018.72
C00550707,286735.58
C00669671,5301
C00561597,320551.98
C00669879,214865.16
C00667329,48951.64
C00658807,109847.07
C00664516,30086.48
C00678292,733.33
C00648907,181138.04
C00641415,106039.43
C00592048,40053.19
C00660795,571825.81
C00397505,189783.83
C00630798,625.87
C00667600,1000
C00631945,455336.83
C00649806,15500
C00415182,50439.74
C00656058,23000
C00649913,74210.84
C00477323,145440.9
C00441295,155334.93
C00666354,1050
C00668129,11710.9
C00673327,3724.99
C00658286,37411.18
C00510461,937766.4
C00662551,35246.02
C00662684,33441.09
C00653576,229953.26
C00638205,12008.3
C00650242,100679.37
C00662650,224676.94
C00573378,357941.82
C00657106,17400
C00657056,61484.979999999996
C00641498,761245.94
C00676627,16000
C00649418,155028.8
C00678516,22757.55
C00666453,159410.25
C00512970,585085
C00662940,90499.19
C00665497,20875
C00641126,43880
C00442921,115250
C00649707,41983.95
C00639575,25638.68
C00666420,30114.47
C00650028,117652.52
C00649954,2600
C00664979,52581.3
C00365593,7875
C00438697,424955.75
C00398644,152931.32
C00670703,13573
C00655613,103464.62
C00675900,527.1800000000001
C00634139,6360
C00603001,24067.35
C00635722,115000
C00660977,15314.68
C00543363,43129.84
C00657601,7000
C00660217,55527.5
C00410829,1205.5
C00614214,256981.07
C00641365,3000
C00670737,62137.090000000004
C00680256,5000
C00660183,16500
