committee_id,payroll
C00668160,8507.46
C00680553,36213.2
C00384057,258565.21
C00331397,20300.649999999998
C00658658,119818.06
C00458877,5677.92
C00663849,154860.77
C00654079,337511.68
C00284174,4500
C00602888,26176
C00391029,36842.43
C00554709,10393.54
C00330142,31205.65
C00636613,30750.86
C00671156,212456.93
C00374058,8363.32
C00213512,156588.02
C00634253,82507.56
C00470948,10267
C00651752,214385.45
C00665448,22004.73
C00657619,48485.81
C00653451,96870.7
C00473736,42161.8
C00640755,8599.04
C00416594,27855.31
C00591289,137.5
C00650424,2437.88
C00649038,5061.26
C00156612,1142.9
C00551572,182.5
C00600700,3715.71
C00581074,15207.57
C00632067,41606.58
C00589234,93336.73
C00592659,3960
C00591685,4330
C00659516,45727.97
C00648287,64637.19
C00637215,80925.55
C00634527,8807.7
C00658500,45418.87
C00555813,58034.67
C00636563,240364.19999999998
C00620443,308669.82
C00672295,103191.25
C00650259,80093.35
C00664755,23100
C00658534,1907.42
C00662270,9160
C00451336,4985.46
C00240986,9513.49
C00476853,9912.210000000001
C00668574,251247.52
C00665182,15045.61
C00633859,652197.18
C00439661,218669.32
C00195628,216621.02
C00215905,189363.61000000002
C00659839,28215.3
C00473538,204
C00538637,122.58
C00571455,207.23
C00660381,459453.21
C00597732,141.75
C00546077,2018.17
C00471292,8725.22
C00658310,5899.93
C00438697,49522.99
C00662403,73332.71
C00672931,99575.6
C00657015,461994.10000000003
C00666479,18154.56
C00219881,1422
C00238444,22446
C00649988,8733.34
C00635839,2892.51
C00554014,213541.92
C00655282,10090
C00607762,3011.02
C00670414,31494.73
C00657528,2760.51
C00658401,381143.74
C00648048,110813.81
C00656975,13689.43
C00441014,287544.31
C00333427,302.75
C00580746,191.09
C00273169,283974.25
C00576173,28.51
C00258855,110054.2
C00558320,594.5699999999999
C00460402,6063.78
C00607291,58
C00614073,234.24
C00618983,773.31
C00590810,306.09
C00437913,3903.59
C00422980,400
C00576348,963.76
C00540856,1799.08
C00401034,904.95
C00608133,1755
C00472241,83.57
C00588673,281.07
C00384016,165.48
C00597641,131.66
C00472779,704.89
C00581827,265.45
C00351379,224.14
C00465971,167.31
C00582320,354
C00580829,415
C00609495,224.03
C00585976,151.75
C00614982,2132
C00611145,365
C00577080,381.5
C00550608,141
C00615302,89.1
C00505065,336.93
C00543249,186
C00386110,70.73
C00575639,267.86
C00581397,500.29
C00632141,26935.12
C00608828,380.37
C00629865,26856.600000000002
C00376673,28320.53
C00561183,2524.94
C00640482,14624.140000000001
C00641209,23157.64
C00506832,25348.23
C00637991,15423.84
C00572339,147.5
C00592154,605.6
C00546549,2157
C00608703,134564.43
C00637306,47376.3
C00575043,61.91
C00640680,28074.39
C00419630,113881.53
C00649269,6148.4
C00640276,500
C00647008,98310.28
C00660126,52315.11
C00649301,41420
C00659284,7928.12
C00639005,50036.659999999996
C00610212,643.48
C00656033,500
C00648931,12049.22
C00650382,5514.36
C00634543,39925.96
C00631127,13027.05
C00636555,3408.24
C00638254,127866.15
C00638601,63967
C00639310,495439.21
C00639591,579829.1
C00666149,110458.13
C00650697,62764.85
C00671032,138465.78
C00650614,25393.55
C00640698,10214.61
C00155952,2824.47
C00681296,9727.4
C00677286,57881.28
C00654095,73680
C00655183,213285.82
C00656793,13290.36
C00658351,239974.18
C00661389,7000
C00666255,60850.64
C00667964,10510.01
C00667915,60736.61
C00554949,86647.75
C00657833,48582.23
C00680249,11788.43
C00649004,134210.46
C00657411,1130010.55
C00658583,13273.99
C00665612,35182.17
C00639641,25634.15
C00632059,120741.91
C00401224,16380.77
C00681569,1485
C00672311,310037.88
C00669531,11922.2
C00653634,14624.66
C00671859,1250
C00666313,62.010000000000005
C00638346,2000
C00663880,13010.31
C00662205,99092.74
C00647461,630
C00634212,24160.68
C00641340,3675.34
C00654277,73799.45
C00474189,9130.41
C00652321,52099
C00641001,940.06
C00661769,2865.1800000000003
C00636696,10825.539999999999
C00370056,332324.8
C00477323,18584.23
C00666461,2972.83
C00678557,1000
C00668699,7483.33
C00552810,16000
C00669507,2922.25
C00657841,4586.63
C00590067,284662.2
C00581595,48847.35
C00546846,6328.96
C00640268,3500
C00669143,7108.87
C00462374,1998
C00593525,72.55
C00649236,32634
C00313247,294.84
C00650226,49800.41
C00656090,285384.19
C00647313,53847.96
C00650366,724149.03
C00654525,179396.94
C00543967,3671.7400000000002
C00670703,6000
C00264101,163
C00310318,19534.37
C00424713,185
C00659581,12224.78
C00386532,1520.83
C00648055,135456.29
C00498568,413542.42
C00664342,3306.25
C00661405,38251.71
C00650622,490320.51
C00680934,78164.34
C00650093,2500
C00679837,285
C00574640,7311.92
C00661868,207746.52
