,candidate_id,candidate_name,candidate,party,state,district,incumbent_challenge,committee_id,committee_name,total,advertise,poll,research,fundraise,pay,materials,consulting,event,mail,travel,smedia,radio,television,website,newspaper
346,H8FL15214,SHOEMAKER,Shoemaker,REP,FL,15,O,C00676189,ED SHOEMAKER FOR CONGRESS,20090.96,NA,NA,NA,270,NA,NA,5030.95,768.13,NA,NA,NA,NA,NA,NA,NA
347,H8FL15222,COMBEE,Combee,REP,FL,15,O,C00676502,FRIENDS OF NEIL COMBEE,219376.26,24989.95,NA,NA,2500,18172.54,NA,22100,1450,94128.67,NA,NA,NA,NA,1000,NA
348,H8FL15230,SPANO,Spano,REP,FL,15,I,C00676668,ROSS SPANO FOR CONGRESS,939944.15,18411.74,6000,6500,44040,NA,NA,82250,696.35,152856.05,23996.61,NA,NA,NA,6507.5,NA
349,H8FL15248,KUSHMER,Kushmer,REP,FL,15,O,C00676841,KUSHMER FOR CONGRESS,76650,10000,NA,NA,13500,NA,NA,54121.8,NA,NA,NA,NA,NA,NA,NA,NA
350,H8FL15263,HARPER,Harper,REP,FL,15,O,C00677583,SEAN HARPER FOR CONGRESS,108530.11,NA,3250,NA,6897.63,NA,NA,37845.95,1500.12,9099.67,1649.62,NA,NA,NA,4400,NA
351,H8FL15271,CARLSON,Carlson,DEM,FL,15,O,C00677096,KRISTEN CARLSON FOR CONGRESS COMMITTEE,2133044.92,2958548,NA,59900,12349.48,152100.19,NA,51094.57,6551.85,131529.31,6866.69,NA,NA,1479274,NA,NA
352,H8FL16055,SHAPIRO,Shapiro,DEM,FL,16,C,C00658419,DAVID SHAPIRO FOR CONGRESS,2870815.25,28664.16,37410.76,81600,4519.25,294423.28,13138.22,69641.97,13229.26,39738.98,3757.61,20000,NA,NA,NA,2704
353,H8FL17020,POLLARD,Pollard,DEM,FL,17,O,C00650143,BILL POLLARD CAMPAIGN,12654.58,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,NA
354,H8FL17038,AKINS,Akins,REP,FL,17,O,C00657692,COMMITTEE TO ELECT BILL AKINS TO CONGRESS,26412.47,7488.15,NA,NA,NA,NA,1303.3,2500,1580.86,NA,NA,NA,1875.39,NA,NA,1190.86
355,H8FL17046,GONZALEZ,Gonzalez,REP,FL,17,O,C00671537,JULIO GONZALEZ FOR CONGRESS,604875,62775.8,19250,15000,3059.72,NA,NA,56781.2,8726.17,94311.7,NA,NA,NA,NA,11997.19,NA
356,H8FL17053,STEUBE,Steube,REP,FL,17,I,C00671891,GREG STEUBE FOR CONGRESS,693511.76,158410.52,24300,10068.98,82232.28,NA,NA,105045,14954.34,415146.47,4014.59,NA,NA,NA,2919.14,NA
357,H8FL18010,KEITH,Keith,DEM,FL,18,C,C00650234,PAM KEITH FOR CONGRESS,670193.38,6108.5,NA,2950,74353.38,262654.63,13558.23,214853.37,5360.41,1745.51,9922.24,NA,NA,NA,1258.8,NA
358,H8FL18028,BAER,Baer,DEM,FL,18,C,C00652594,LAUREN BAER FOR CONGRESS,4606964.32,9903.02,148074.26,11414.25,90681.41,211634.31,NA,214720.27,6554.4,6475.16,26720.72,5400,NA,NA,168,NA
359,H8FL18036,CUMMINGS,Cummings,REP,FL,18,C,C00673723,DAVE CUMMINGS FOR CONGRESS,17603.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,H8FL19067,HOLDEN,Holden,DEM,FL,19,C,C00649079,HOLDEN 2018,639736.54,193830.5,NA,NA,49720.65,143573.03,3915.87,189851.71,14197.54,12750.4,18026.97,NA,NA,NA,16401.4,NA
361,H8FL19075,TRUAX,Truax,DEM,FL,19,C,C00651588,TODD JAMES TRUAX CONGRESSIONAL CAMPAIGN,16032.14,1831.76,NA,NA,NA,NA,NA,NA,NA,205.08,263.51,NA,NA,NA,NA,NA
