committee_id,polling
C00657650,27000
C00641191,95176.17
C00638254,33771.58
C00650697,37013
C00653816,168949.44
C00661637,21600
C00659177,41000
C00573949,55473
C00666149,90250
C00666461,30950
C00571869,77070
C00649954,1927.25
C00649350,91700
C00444620,15966
C00674259,6960
C00664599,69839
C00673384,4500
C00673525,8200
C00649459,500
C00647446,3520
C00575050,9910
C00636324,43300
C00576173,7000
C00662577,156363.32
C00671032,30000
C00338954,82500
C00648774,21600
C00344697,28200
C00661769,4000
C00413179,3389.89
C00472159,27500
C00655183,45963.37
C00652248,94911.2
C00649061,34500
C00590067,27900
C00671859,50400
C00667915,24614.440000000002
C00659151,4800
C00663054,82980
C00470757,48983
C00286187,19812
C00640961,47891.770000000004
C00671107,22825
C00639526,33200
C00639591,17051.04
C00648295,3075
C00654095,47440
C00664375,109000
C00650226,10500
C00664409,42933.81
C00414318,3500
C00658336,30450
C00662171,117290
C00502229,74544.47
C00498345,61985.65
C00654525,6200
C00650366,62040
C00662932,14602.84
C00653121,106073.86
C00607432,22500
C00662825,25000
C00653659,3500
C00195628,23200
C00213512,86200
C00266940,19500
C00285171,975
C00273169,26197.5
C00667006,45000
C00667436,18100
C00379735,29900
C00666396,27775
C00652958,16900
C00581074,29000
C00657874,500
C00444471,26000
C00458976,32350
C00463836,82309
C00476523,21000
C00647610,32571.5
C00634808,2605
C00658419,20000
C00503094,14022.42
C00636621,3500
C00554949,72700
C00651562,1850
C00477240,10500
C00631978,2500
C00649004,16500
C00607556,1500
C00650622,36160
C00498568,55100
C00648055,4367.8
C00680488,42000
C00398644,17700
C00628917,600
C00503052,15750
C00676668,6000
C00633982,29015
C00376087,46175
C00472704,61500
C00236513,57000
C00415331,1971.2
C00559393,21000
C00657445,5100
C00607200,1200.64
C00650176,31000
C00552810,1200
C00558486,20465
C00638023,76000
C00653196,44600
C00661868,68500
C00405431,47000
C00457556,27000
C00461806,18549
C00494930,3500
C00505776,20000
C00610451,8978
C00634543,33323.68
C00638478,21650
C00647560,500
C00651315,27500
C00652792,14000
C00653626,13500
C00655043,20800
C00658625,32700
C00660530,25750
C00666073,20200
C00667675,2850
C00671057,9000
