committee_id,salary
C00650424,5428.68
C00632067,17566.83
C00636761,62586
C00653220,13000
C00667170,3250
C00266940,74900
C00672295,90670.72
C00675959,700
C00653162,5683.5
C00451336,15417.2
C00633511,13757.45
C00637785,63100
C00664755,9000
C00651711,5881.9
C00648014,5581.8
C00634212,371450
C00290825,185200
C00580621,1000
C00649988,11534.32
C00576926,1406.25
C00605592,2762.25
C00501254,3725.51
C00286187,76256.54
C00287912,80483.75
C00649715,10500
C00607531,16700
C00555813,23687.02
C00674317,960
C00648816,3500
C00632448,1500
C00656785,4940
C00673939,1000
C00670414,25831.16
C00661413,1750
C00678557,7000
C00653253,46805.99
C00229104,144276.13
C00671107,21365
C00648048,35332.21
C00577353,4013.62
C00471292,13996.98
C00607838,1250
C00476291,5469.83
C00195628,117323.16
C00634527,14749.3
C00290064,49910.32
C00633982,25934.56
C00573949,15000
C00580647,1026
C00414318,8648.46
C00256925,55906.600000000006
C00272211,60701.19
C00410753,11250
C00497933,1412.32
C00635839,23418.37
C00311043,84630.64
C00464149,16000
C00636621,28586
C00668590,1435
C00468579,5500
C00575167,3000
C00631564,201590
C00640680,13250.99
C00649269,3635.78
C00579599,2000
C00608901,1300
C00631978,20563.96
C00668699,58336.590000000004
C00649012,165640.93
C00646570,5936.299999999999
C00636860,3400.83
C00660126,12348.02
C00647008,7557.51
C00638346,13600
C00648519,1415
C00441014,149356.66999999998
C00649301,29740
C00652107,18654.07
C00636175,13900
C00639013,3461.5499999999997
C00640227,1000
C00636431,4000
C00650382,2738.26
C00658278,600
C00556944,445.52
C00641548,14270.02
C00636555,6162.34
C00637793,1000
C00638254,59548.26
C00639096,13925
C00639641,21045.32
C00668608,314617.82
C00650697,46118.97
C00640698,53738.62
C00657015,29281.66
C00656793,500
C00679852,1800
C00648931,23416.010000000002
C00068353,3341
C00650481,22418.55
C00677286,123710.33
C00666149,97604.29
C00654095,2500
C00658658,26131.97
C00659284,5844.5599999999995
C00665752,7866.89
C00665364,1280.78
C00669531,84070.11
C00671057,45847.48
C00671412,23096.52
C00672311,224423.21
C00664268,2000
C00667915,13502.240000000002
C00640375,24650
C00667386,3000
C00578567,3863.88
C00665612,9845.2
C00670364,1750
C00401224,19189.84
C00654780,1500
C00648295,26550
C00610071,4030
C00639591,8295.17
C00660803,18120.08
C00666313,1903.76
C00662668,7590.35
C00675330,1600.73
C00658609,4000
C00659342,4287.32
C00631127,4981.83
C00649954,5227.29
C00669952,300
C00633057,4250
C00653964,1050
C00634659,20421
C00614776,24502.51
C00666479,6533.4
C00673749,500
C00639773,50437.24
C00641340,37413.17
C00654277,43507.65
C00638650,92118.3
C00552810,5000
C00433391,28531.89
C00641191,274463.66
C00649558,127648.8
C00666461,15758.06
C00656280,36118.15
C00665182,1900
C00684324,300
C00680249,1996.6799999999998
C00676726,1829.31
C00658583,4037.8
C00636696,1764.96
C00655183,170579.65
C00459297,4260.6
C00659367,4936.25
C00657841,12032.93
C00590067,139894.21
C00676734,2000
C00651562,7612.3
C00669143,1037.94
C00658328,5877.01
C00313247,17800.02
C00650226,160825.61
C00620443,126511.89
C00650507,16782.77
C00637363,8000
C00658336,27164.46
C00661678,9278.64
C00650366,459075.57
C00654525,22635.35
C00677112,629.08
C00254573,1800
C00257121,5000
C00659581,8642.5
C00639989,2500
C00226522,259030.9
C00243428,2100
C00659755,2706.9
C00639310,14914.31
C00650093,68875
C00664342,550
C00661405,14272.4
C00650622,110003.45
C00581595,55686.41
C00680934,175993.46
C00649327,3552.5200000000004
C00680488,101677.42
C00638023,175566.82
C00658567,8959.83
C00668087,4000
C00680900,2200
C00661868,25173.11
C00497396,6000
C00502229,400
C00649285,7123.709999999999
C00655571,5000
