committee_id,radio
C00657650,3952.27
C00655647,750
C00501643,4590
C00301838,4500
C00655860,2521
C00561597,1697.95
C00691733,1100
C00630384,3360.02
C00641001,3062.5
C00612697,800
C00640961,270
C00681767,1120
C00650622,335000
C00226522,299.99
C00654509,525
C00460063,339.06
C00541862,126544
C00657692,1875.39
C00578302,7000
C00683532,6702
C00673467,6016
C00373563,600
C00472704,50400
C00507368,2000
C00641340,500
C00685412,2337.64
C00675108,2500
C00684696,3106
C00638023,3000
C00628917,88988.33
C00676627,13109.7
C00636324,4506
C00661868,3336
C00654178,6221.44
C00646844,250
C00648675,2906.33
C00646570,1500
C00647560,500
C00652495,676
C00654624,399.09
C00664904,1037
C00668228,666
C00670364,3950
