committee_id,website
C00656785,4448.139999999999
C00655902,3845.82
C00650440,7200
C00630384,742
C00640474,115
C00413179,16150
C00634311,1000
C00650705,4000
C00652586,1275
C00648998,1856.56
C00670059,10
C00653592,382.1
C00634139,1500
C00660753,7282.64
C00498667,750
C00658286,878.66
C00556944,2466.66
C00476291,2536.01
C00634709,13250
C00422410,14932.04
C00663179,3000
C00656280,1160
C00650200,2024
C00370650,2450
C00663104,3500
C00649913,2700.73
C00637363,1045
C00647016,10040
C00477240,676.27
C00610964,890
C00655860,1100
C00658245,300
C00655837,102
C00663203,2500
C00660381,13000
C00664953,2500
C00654434,8065.6
C00648725,6500
C00662551,1215.5
C00661355,2515.17
C00655332,2861.5
C00668145,435.8
C00554113,882.78
C00652248,3545.27
C00633370,261.71
C00140715,31200
C00665893,1052.58
C00655118,1283.42
C00634683,2800
C00303305,2027.26
C00591784,176
C00575209,9885.47
C00614214,336.17
C00656686,7129.48
C00659854,2800
C00544445,2080.6800000000003
C00547240,432
C00646398,87
C00554261,13599
C00558213,2343.4
C00554899,825
C00554949,2178.3
C00558510,1185
C00559393,5190
C00563940,177.7
C00649012,10550
C00557520,389.8
C00575126,12224.87
C00458877,2497.95
C00586065,3500
C00661769,3164.6400000000003
C00676163,525
C00657320,453.02
C00678037,400
C00659292,2000
C00654780,2591.3
C00597690,452.23
C00657353,2025
C00597716,145
C00670307,1250
C00664912,1275.75
C00653196,1133.47
C00476564,125.80000000000001
C00647057,1000
C00634188,266.3
C00672980,1571.64
C00670489,2451.5
C00651760,154
C00649673,4021.88
C00668483,363.1
C00244335,7418.45
C00663450,2569
C00673533,3139.9300000000003
C00658740,4500
C00401190,298
C00665653,5065
C00671537,11997.19
C00501833,867.69
C00653733,186.22
C00556506,3034.3
C00460063,728
C00648295,9120.53
C00648493,2868.38
C00673350,6264.81
C00658591,26
C00383828,2992.5499999999997
C00647164,1637.46
C00649731,2700
C00677377,275
C00384057,5250
C00637371,3586.55
C00588558,94.98
C00649798,13012.41
C00659110,196
C00410639,750
C00250720,965.1999999999999
C00311639,20496.37
C00543553,0
C00464149,16660
C00657437,7103.53
C00578302,216
C00224691,46.99
C00671370,2379.13
C00677583,4400
C00666859,1200
C00458976,13755.05
C00647677,1200
C00671156,7168
C00374058,17501.73
C00213512,67419.85
C00446815,886.8
C00350520,10247.5
C00670760,4792.26
C00258475,2940
C00616045,3021.3
C00653410,809.4
C00572560,6600
C00649756,2902.09
C00639641,5609
C00443705,2879.36
C00647875,3200
C00664185,45.97
C00326363,26742.75
C00675025,7677.41
C00576041,10000
C00651752,3501.03
C00634253,258.28
C00608430,1478.75
C00494203,10250
C00677880,1297.56
C00154625,6200
C00636761,1400.59
C00656793,77.01
C00629360,775
C00581074,28053
C00167585,15750
C00629865,361.25
C00576710,360
C00589234,19955.8
C00592048,507.03
C00597724,9723.37
C00602888,2433.52
C00605592,10153.7
C00632067,1800
C00649145,1121.25
C00661348,179.88
C00650473,14346.5
C00667436,1636.7
C00653220,282.55
C00652263,500
C00665224,41.849999999999994
C00668939,8.99
C00650143,321
C00667451,349
C00648287,999.88
C00285171,191.76
C00672055,2043
C00664862,662
C00636613,2919.5499999999997
C00607325,540
C00658310,5423.45
C00633131,25
C00631002,4317.28
C00672295,168
C00675959,2998
C00397737,1071.95
C00630954,434.76
C00662668,3601.87
C00631762,89
C00655803,342.79
C00670984,3200
C00662528,2600
C00637785,3864.94
C00670992,1771.9
C00671842,3900
C00658997,13796.25
C00663617,1500
C00606970,195.84
C00651711,224.70000000000002
C00254185,131.28
C00468413,56.17
C00658567,1263.8
C00641563,29
C00660993,2000
C00667279,127.61
C00657551,1198
C00664813,2500
C00655704,1793
C00672873,2500
C00639096,174.37
C00657403,4000
C00367862,588
C00594168,5000
C00675900,1650
C00671362,448
C00290825,1989.2
C00573949,444.88
C00671149,210.44
C00498345,3850
C00576173,4279
C00668285,6163.2
C00671172,210.44
C00414318,1400
C00667675,2311
C00631895,3750
C00671131,210.44
C00631614,2741
C00670976,1500
C00437913,28606.54
C00344697,1975
C00667287,2967.5
C00012229,1018.09
C00273169,31898.66
C00667741,10303.82
C00373464,10458.15
C00347492,702.91
C00639567,230
C00654079,19808
C00651497,213.2
C00650465,515.1
C00611707,72
C00673426,64
C00667931,475
C00664292,675
C00647974,12418.5
C00664755,901.02
C00665497,10706.36
C00666529,1000
C00416594,2440
C00668335,418
C00660365,538
C00672048,4163.46
C00369686,116
C00669432,17376.23
C00334706,50
C00666479,4375
C00672766,1060
C00667832,1856.4
C00674143,220.08
C00649707,3160.09
C00659714,29
C00662395,4311.1
C00658450,324.99
C00657361,1478.8
C00469163,4740.48
C00665919,500
C00648675,212
C00656579,7000
C00665026,712.5
C00661777,229.99
C00673897,75.72
C00636969,6454.96
C00577999,450
C00379735,147.23000000000002
C00671107,1000
C00669341,6600
C00664581,53
C00653253,135
C00662825,5250
C00662866,3000
C00666883,1500
C00657304,106.28
C00631234,120.34
C00632505,7687.2
C00195065,2670.99
C00197160,4012.02
C00552430,213.51999999999998
C00269340,840
C00634105,4836.28
C00461061,4452.0599999999995
C00473272,11809.76
C00195628,21600
C00327023,4850
C00310532,594
C00633362,11874.32
C00433730,1650
C00592162,554.45
C00630145,1125
C00588624,211.43
C00398644,4305.71
C00635714,600
C00631465,53.5
C00409219,21693.79
C00552588,64.68
C00558387,2000
C00632455,600
C00373001,380
C00633982,6096
C00496760,300
C00590778,750
C00520064,6850
C00236513,10558.6
C00408534,889.62
C00573980,570
C00468405,220
C00579896,2119
C00543249,1195.32
C00454694,2000
C00630335,1000
C00592345,33.51
C00441014,1403.82
C00633602,9.17
C00590463,498
C00269837,1909.94
C00470757,43838.06
C00286187,300
C00635847,692.26
C00546358,377
C00632174,17615.36
C00629774,1076.95
C00376673,9100
C00631176,81.31
C00580647,311.88
C00630186,660
C00640755,179.88
C00634741,1673.01
C00445163,201.72
C00573378,432
C00613539,549.2
C00590307,786.5
C00639310,136.7
C00401034,35.34
C00410118,2892.37
C00648170,1320
C00557694,199
C00367110,30951.69
C00641548,2000
C00640722,932.46
C00641027,9000
C00647115,1151.1
C00639583,2312.8
